credit.policy,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,purpose_all_other,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business
1,0.1533,644.3,11.40756495,5.24,662,1770.0,22379,62.2,0,0,0,0,0,1,0,0,0,0,0
1,0.1122,157.66,10.30895266,12.36,682,1770.0,12310,86.1,0,0,0,0,0,0,1,0,0,0,0
1,0.1122,217.6,11.38509209,18.0,702,3725.0,16738,26.1,2,0,0,0,0,1,0,0,0,0,0
1,0.0807,297.99,11.05089001,3.49,792,5939.0,40384,9.2,1,0,0,0,1,0,0,0,0,0,0
1,0.0775,156.11,10.71441777,5.0,762,2131.0,1359,5.6,2,0,0,0,0,0,1,0,0,0,0
1,0.1154,329.95,12.32385568,20.0,727,10292.0,107501,44.8,2,0,0,0,0,0,1,0,0,0,0
1,0.0807,313.67,12.06104687,0.72,787,8010.0,3054,5.6,3,0,0,0,1,0,0,0,0,0,0
1,0.0807,297.99,11.40756495,2.44,792,8717.958333,40384,9.6,0,0,0,0,1,0,0,0,0,0,0
1,0.0712,61.87,11.6784399,0.43,772,5936.0,4709,18.5,0,0,0,0,0,0,1,0,0,0,0
1,0.1186,94.47,10.71441777,2.8,667,5460.0,2850,75.0,0,1,0,0,1,0,0,0,0,0,0
1,0.0933,543.2,11.22524339,9.55,762,5699.958333,3839,16.6,1,0,0,0,0,0,1,0,0,0,0
1,0.1217,266.37,11.15625052,10.2,672,3598.958333,26283,39.5,0,1,0,1,0,1,0,0,0,0,0
1,0.1028,210.6,10.71441777,5.87,692,1741.958333,5607,42.2,0,0,0,0,0,0,1,0,0,0,0
1,0.1249,234.15,10.04324949,5.01,662,1110.0,1061,81.9,3,0,0,0,1,0,0,0,0,0,0
1,0.1028,323.99,11.69524702,14.4,722,4679.958333,56740,77.5,1,0,0,0,0,0,1,0,0,0,0
1,0.1059,235.96,10.95080655,7.22,712,5519.0,40598,77.3,1,0,0,0,0,1,0,0,0,0,0
1,0.1438,352.22,11.1844214,17.83,687,1289.958333,3815,6.5,1,0,0,0,0,0,1,0,0,0,0
1,0.0743,117.31,11.69524702,0.0,772,3929.958333,0,0.0,1,0,0,0,1,0,0,0,0,0,0
1,0.1122,295.59,10.3859137,22.15,747,2788.958333,14345,45.8,0,0,0,0,0,1,0,0,0,0,0
1,0.1375,263.09,11.03811028,9.8,677,3089.958333,12231,81.0,3,0,0,1,0,0,1,0,0,0,0
1,0.1467,248.43,10.95080655,20.76,667,3750.0,13552,69.1,0,1,0,0,0,0,1,0,0,0,0
1,0.1028,194.4,11.37710574,10.6,692,2489.958333,16813,63.9,0,0,0,0,0,1,0,0,0,0,0
1,0.0743,163.92,11.35040654,2.64,782,9210.0,5760,16.0,0,0,0,0,1,0,0,0,0,0,0
1,0.1028,150.66,10.727663,3.26,687,6509.958333,105,35.0,1,1,0,1,1,0,0,0,0,0,0
1,0.1122,217.59,10.9525594,13.77,682,2160.0,11490,95.7,0,0,0,0,0,0,1,0,0,0,0
1,0.1122,328.43,10.30895266,20.4,742,3270.0,0,0.0,3,0,0,0,1,0,0,0,0,0,0
1,0.0807,165.47,10.91508846,12.0,797,8790.0,12430,19.2,1,0,0,0,1,0,0,0,0,0,0
1,0.1091,140.6,10.49127422,9.87,707,1560.0,12323,44.0,0,0,0,0,0,0,1,0,0,0,0
1,0.1028,98.01,11.40756495,9.13,697,3300.0,38624,97.8,0,0,0,0,1,0,0,0,0,0,0
1,0.1028,138.51,10.34174248,24.81,767,5789.958333,6752,24.6,2,0,0,0,1,0,0,0,0,0,0
1,0.1249,70.25,9.433483923,14.4,662,1469.0,458,91.6,1,0,0,1,0,0,1,0,0,0,0
1,0.0838,252.1,11.56171563,9.71,752,3508.958333,16786,44.7,0,0,0,0,0,1,0,0,0,0,0
1,0.0901,263.19,11.69524702,12.16,742,9719.958333,7336,29.9,0,0,0,0,1,0,0,0,0,0,0
1,0.0933,104.65,11.03488966,3.83,702,3690.0,7089,41.9,1,0,0,0,1,0,0,0,0,0,0
1,0.0807,172.53,10.89673933,6.29,742,5100.0,18388,68.9,0,0,0,0,0,0,1,0,0,0,0
1,0.0996,38.7,10.37349118,1.13,677,1920.0,613,76.6,2,0,0,0,0,1,0,0,0,0,0
1,0.128,335.98,10.50232405,18.92,682,2219.0,9166,50.4,1,0,0,0,0,0,1,0,0,0,0
1,0.0996,32.25,10.46310334,5.83,687,2158.958333,1188,3.0,2,0,0,1,1,0,0,0,0,0,0
1,0.1059,72.42,11.00209984,8.14,707,4800.0,20511,62.0,1,0,0,1,1,0,0,0,0,0,0
1,0.0807,259.58,10.79957558,9.89,772,9870.0,7744,17.1,0,0,0,0,1,0,0,0,0,0,0
1,0.0964,169.32,11.15625052,17.57,737,5429.958333,51761,38.0,1,0,0,0,1,0,0,0,0,0,0
1,0.1154,205.4,10.71441777,17.76,717,1500.0,579,23.2,0,0,0,0,0,1,0,0,0,0,0
1,0.1312,162.01,11.35040654,16.87,707,9059.958333,34776,54.3,0,0,0,1,0,0,1,0,0,0,0
1,0.1028,226.8,10.92233487,10.05,692,1890.0,8047,33.8,0,0,0,0,0,0,1,0,0,0,0
1,0.1059,162.73,9.61580548,24.4,737,3209.958333,0,0.0,3,0,0,0,1,0,0,0,0,0,0
1,0.1154,158.38,10.1266311,18.19,672,2586.0,409,81.8,0,1,0,0,0,0,1,0,0,0,0
1,0.0996,158.83,11.33857208,4.84,727,6330.0,48251,50.1,2,0,0,0,0,0,1,0,0,0,0
1,0.1028,97.2,10.54534144,19.93,687,2580.0,772,96.5,0,0,0,0,1,0,0,0,0,0,0
1,0.1154,263.97,10.81977828,8.04,672,3089.0,1019,4.5,1,1,0,0,0,0,1,0,0,0,0
1,0.0775,307.53,11.15625052,9.09,797,6089.958333,1790,4.5,1,0,0,0,1,0,0,0,0,0,0
1,0.128,839.95,11.22524339,24.85,722,6330.0,62739,74.7,3,0,0,1,0,0,1,0,0,0,0
1,0.1059,269.31,11.59910316,24.01,767,4665.958333,29901,71.2,2,0,0,1,1,0,0,0,0,0,0
1,0.1186,265.18,10.858999,11.31,667,1560.0,5867,74.3,1,0,0,0,0,0,1,0,0,0,0
1,0.1091,505.16,11.69524702,16.97,697,9659.0,57196,44.5,3,0,0,1,0,0,1,0,0,0,0
1,0.1091,130.79,9.574983486,8.92,672,1140.0,3614,61.3,1,0,0,0,1,0,0,0,0,0,0
1,0.0996,643.36,11.66134547,13.07,727,10529.95833,33989,82.9,0,0,0,0,0,1,0,0,0,0,0
1,0.147,51.78,10.1266311,3.84,632,1530.0,1238,61.9,1,1,0,0,1,0,0,0,0,0,0
1,0.0775,149.87,9.952277717,6.34,752,3029.0,3470,25.5,0,0,0,0,1,0,0,0,0,0,0
1,0.0996,96.75,11.03488966,11.98,682,1799.0,12640,83.2,0,0,0,0,1,0,0,0,0,0,0
1,0.1091,192.09,11.09741002,19.82,677,4290.0,30597,89.5,1,1,0,0,0,1,0,0,0,0,0
1,0.1154,593.92,10.20359214,10.8,682,5050.0,8537,75.5,0,0,0,0,1,0,0,0,0,0,0
1,0.1091,392.36,10.46310334,15.74,692,1500.041667,15649,54.5,2,0,0,0,0,0,1,0,0,0,0
1,0.1028,485.99,11.38509209,11.95,702,5070.0,24615,94.7,0,0,0,0,0,1,0,0,0,0,0
1,0.1122,223.34,10.83958091,18.68,682,1889.041667,9495,87.9,2,0,0,1,0,0,1,0,0,0,0
1,0.0775,149.87,9.903487553,10.26,757,6330.041667,4921,30.4,0,0,0,0,0,1,0,0,0,0,0
1,0.0743,186.45,11.13730067,6.11,777,7440.041667,2444,5.6,3,0,0,0,0,0,1,0,0,0,0
1,0.0933,790.86,11.00209984,0.82,767,2100.0,916,6.8,0,0,0,0,0,0,1,0,0,0,0
1,0.087,126.65,10.69194491,18.71,747,3630.0,3209,12.6,0,0,0,0,0,1,0,0,0,0,0
1,0.1091,294.27,11.28978191,17.17,677,3840.041667,7570,82.3,0,0,0,0,0,1,0,0,0,0,0
1,0.1186,397.77,11.91839057,20.48,687,4452.041667,66654,51.6,1,0,0,0,0,0,1,0,0,0,0
1,0.1059,130.18,11.03488966,17.81,682,6330.041667,18168,68.5,2,0,0,0,0,1,0,0,0,0,0
1,0.1122,98.53,10.40134951,22.79,682,9389.0,24218,85.3,2,0,0,0,1,0,0,0,0,0,0
1,0.0807,15.69,9.798127037,4.27,722,1470.0,0,0.0,0,0,0,0,1,0,0,0,0,0,0
1,0.1091,523.14,12.20607265,10.7,697,7320.0,72303,73.7,1,0,0,0,0,1,0,0,0,0,0
1,0.087,557.23,11.9381932,0.12,757,1128.041667,1032,5.0,0,0,0,0,1,0,0,0,0,0,0
1,0.1122,315.3,10.65725935,14.6,677,3630.0,133,4.2,1,0,0,0,1,0,0,0,0,0,0
1,0.0775,202.94,10.77895629,13.53,787,10260.04167,10742,8.9,3,0,0,0,0,0,1,0,0,0,0
1,0.1028,485.99,10.81977828,11.88,702,7020.041667,13867,33.7,0,0,0,0,0,0,1,0,0,0,0
1,0.0996,322.49,11.19134184,10.28,702,4920.041667,3943,98.6,3,0,0,1,1,0,0,0,0,0,0
1,0.087,189.97,10.08580911,19.45,757,3870.041667,5405,40.0,2,0,0,0,0,0,1,0,0,0,0
1,0.1217,376.24,10.42228135,23.96,712,3030.041667,12102,49.0,1,0,0,0,0,0,1,0,0,0,0
1,0.1217,599.33,11.61045137,18.3,682,4379.0,18076,81.4,1,0,0,0,0,0,1,0,0,0,0
1,0.1217,132.35,10.20359214,23.2,702,5279.041667,4504,39.2,1,0,0,1,0,0,1,0,0,0,0
1,0.1091,604.88,10.858999,17.56,707,8061.0,32438,43.0,0,1,0,0,0,1,0,0,0,0,0
1,0.087,538.23,10.93131966,11.51,747,6240.041667,20380,48.1,2,0,0,0,0,0,1,0,0,0,0
1,0.0933,172.55,10.6454249,16.09,707,2220.0,38054,61.2,0,0,0,0,0,1,0,0,0,0,0
1,0.0996,290.24,10.54534144,3.38,697,1782.0,3305,55.1,2,0,0,0,1,0,0,0,0,0,0
1,0.087,158.31,10.08580911,6.15,722,1350.0,3015,25.3,0,0,0,0,1,0,0,0,0,0,0
1,0.1059,390.54,10.30895266,19.84,702,2042.041667,7336,71.9,1,0,0,0,0,0,1,0,0,0,0
1,0.1249,301.04,10.858999,4.98,662,6630.041667,8644,72.6,1,0,0,0,0,1,0,0,0,0,0
1,0.1059,650.9,11.58988651,11.96,707,5070.0,21004,97.7,0,0,0,0,0,0,1,0,0,0,0
1,0.1375,81.74,10.75790288,24.08,667,2820.0,11675,75.8,1,0,0,0,1,0,0,0,0,0,0
1,0.0901,238.54,9.875088078,10.37,712,1230.041667,3933,43.7,0,0,0,0,1,0,0,0,0,0,0
1,0.0933,95.87,10.50780352,2.69,697,4680.0,1492,33.2,2,0,0,0,1,0,0,0,0,0,0
1,0.0996,95.94,10.1266311,14.16,692,1918.041667,7121,33.7,0,0,0,0,0,0,1,0,0,0,0
1,0.128,554.37,11.03488966,19.22,677,3060.041667,17641,69.5,2,0,0,0,0,0,1,0,0,0,0
1,0.1091,586.9,11.22524339,10.34,697,2669.041667,23391,90.7,1,0,0,0,0,1,0,0,0,0,0
1,0.128,483.81,10.49460201,8.47,662,2670.041667,7104,93.5,2,0,0,1,0,0,1,0,0,0,0
1,0.1217,399.55,10.08580911,14.5,672,1950.041667,9273,43.9,0,0,0,0,0,0,1,0,0,0,0
1,0.1186,232.04,10.82774645,17.02,672,4380.0,6718,94.6,3,0,0,0,0,0,1,0,0,0,0
1,0.1091,304.9,11.16368368,18.96,692,5430.0,5749,43.2,1,1,0,0,0,0,1,0,0,0,0
1,0.0775,124.89,10.08580911,6.0,752,2729.041667,2666,12.1,0,0,0,0,1,0,0,0,0,0,0
1,0.1028,113.4,10.77895629,17.65,687,2070.0,3761,55.4,2,0,0,0,1,0,0,0,0,0,0
1,0.1407,842.47,11.69524702,12.81,677,5340.041667,33698,91.3,0,0,0,0,0,1,0,0,0,0,0
1,0.1091,817.41,11.19821472,22.13,737,9900.0,3472,4.5,1,0,0,1,0,0,1,0,0,0,0
1,0.1596,421.65,10.46287474,20.82,667,6750.041667,14534,48.9,3,1,0,0,0,0,1,0,0,0,0
1,0.1312,405.03,11.56171563,18.25,667,4358.0,5861,53.8,2,0,0,0,1,0,0,0,0,0,0
1,0.128,167.99,10.14564911,18.65,662,1380.0,5061,72.3,0,1,0,0,0,0,1,0,0,0,0
1,0.0996,677.22,10.89857098,3.77,722,6149.0,16888,39.5,0,0,0,0,0,0,1,0,0,0,0
1,0.1154,131.99,10.83863929,9.14,667,3990.0,463,92.6,0,0,0,0,1,0,0,0,0,0,0
1,0.0933,281.2,10.1266311,0.0,712,3360.041667,0,0.0,0,1,0,0,0,0,1,0,0,0,0
1,0.0964,802.47,10.77895629,9.78,742,2550.0,8283,12.7,4,0,0,0,0,0,1,0,0,0,0
1,0.1091,505.16,11.61728548,10.86,687,3420.041667,46525,93.6,0,0,0,0,0,1,0,0,0,0,0
1,0.0933,319.54,10.50506754,19.46,727,4470.041667,827,6.6,2,0,0,1,1,0,0,0,0,0,0
1,0.0964,192.6,9.798127037,2.87,697,1199.041667,1554,29.3,1,0,0,0,0,0,1,0,0,0,0
1,0.0712,30.94,11.69524702,0.65,792,3810.041667,2227,3.8,1,0,0,0,1,0,0,0,0,0,0
1,0.1438,687.25,11.32659589,16.05,667,2190.0,27293,86.6,0,0,0,0,0,1,0,0,0,0,0
1,0.0964,320.99,11.1124479,3.6,712,2850.0,10157,26.2,0,1,0,0,0,0,1,0,0,0,0
1,0.0807,250.95,10.89673933,10.44,767,3449.041667,0,0.0,1,0,0,0,0,1,0,0,0,0,0
1,0.0743,87.01,10.28793329,3.96,767,3930.0,1773,5.0,1,0,0,0,1,0,0,0,0,0,0
1,0.0775,62.45,10.08580911,2.4,742,2290.041667,949,55.8,1,0,0,1,1,0,0,0,0,0,0
1,0.1438,687.25,10.65725935,15.7,672,3690.0,9150,96.3,0,0,0,0,0,0,1,0,0,0,0
1,0.1122,656.86,10.55986701,14.04,702,1800.0,21777,53.7,3,0,0,0,0,0,1,0,0,0,0
1,0.128,537.57,11.48440253,12.43,667,2580.0,4281,63.0,3,0,0,0,1,0,0,0,0,0,0
1,0.0964,320.99,10.12502982,8.17,712,3300.0,4475,63.0,0,0,0,0,0,0,1,0,0,0,0
1,0.0996,386.99,11.51292546,8.17,707,3839.041667,25413,45.2,2,0,0,0,0,0,1,0,0,0,0
1,0.0807,125.48,9.980448594,10.33,742,1920.041667,3737,55.8,1,0,0,0,0,0,1,0,0,0,0
1,0.1343,523.78,10.49127422,17.4,667,10380.04167,18403,73.3,0,1,0,0,0,0,1,0,0,0,0
1,0.1217,199.78,11.69524702,6.81,662,2041.041667,19504,77.3,0,0,0,0,1,0,0,0,0,0,0
1,0.0933,575.17,11.53272809,16.95,747,3630.0,10463,8.2,2,0,0,0,0,0,1,0,0,0,0
1,0.0901,95.42,9.210340372,6.72,707,3329.0,2808,51.1,3,1,0,0,0,0,1,0,0,0,0
1,0.0901,477.07,11.17043516,6.88,742,4589.041667,6297,14.5,0,0,0,0,0,0,1,0,0,0,0
1,0.0807,345.06,11.03488966,14.07,792,7867.041667,33060,21.7,0,0,0,0,1,0,0,0,0,0,0
1,0.1122,155.19,9.893437217,23.03,717,2580.0,4500,13.0,0,0,0,1,1,0,0,0,0,0,0
1,0.0712,92.8,11.01205017,1.19,797,6270.041667,2907,4.0,0,0,0,0,1,0,0,0,0,0,0
1,0.0996,306.36,10.96819829,21.93,727,4593.041667,26218,28.7,2,0,0,0,0,0,1,0,0,0,0
1,0.1154,143.53,9.998797732,24.71,707,1291.041667,5967,25.5,0,0,0,0,0,0,1,0,0,0,0
1,0.0901,381.66,11.69524702,4.28,722,4080.041667,7335,45.8,1,1,0,0,1,0,0,0,0,0,0
1,0.1122,197.06,10.80972795,0.0,672,2519.0,0,0.0,1,1,0,0,0,0,1,0,0,0,0
1,0.0807,83.92,10.59663473,16.68,737,6988.0,19210,48.3,0,0,0,0,0,1,0,0,0,0,0
1,0.0996,253.16,10.16585182,6.14,697,2040.041667,991,34.2,1,0,0,0,0,0,1,0,0,0,0
1,0.1014,97.0,11.69524702,8.71,687,2311.041667,199,1.1,1,1,0,0,1,0,0,0,0,0,0
1,0.1046,259.87,11.69524702,11.28,692,5018.041667,63580,80.6,1,0,0,1,1,0,0,0,0,0,0
1,0.133,67.68,9.798127037,22.0,662,1470.0,1042,37.2,3,1,0,0,0,0,1,0,0,0,0
1,0.133,406.07,10.20359214,7.16,662,1530.041667,137,3.2,1,1,0,1,0,0,1,0,0,0,0
1,0.0743,217.52,11.00209984,1.72,807,7230.0,3202,1.1,1,0,0,0,1,0,0,0,0,0,0
1,0.1236,667.74,11.79810441,13.42,687,3420.041667,46086,92.7,0,0,0,0,0,1,0,0,0,0,0
1,0.1014,421.14,10.59663473,17.01,752,4349.0,35944,56.2,2,0,0,0,0,0,1,0,0,0,0
1,0.1362,339.94,10.80972795,1.21,672,2519.0,0,0.0,0,1,0,0,1,0,0,0,0,0,0
1,0.1078,365.51,11.00209984,14.26,702,6780.041667,7973,89.6,0,0,0,0,0,0,1,0,0,0,0
1,0.0807,313.69,10.11050172,9.95,752,5167.0,8522,21.7,1,0,0,0,0,0,1,0,0,0,0
1,0.1362,316.99,10.30895266,21.88,667,1601.041667,7429,82.5,0,0,0,0,0,0,1,0,0,0,0
1,0.1014,485.0,11.38845009,13.73,732,5489.0,14903,35.3,0,0,0,0,0,0,1,0,0,0,0
1,0.1236,133.55,10.59653473,9.48,662,4080.041667,2923,28.4,3,0,0,0,0,0,1,0,0,0,0
1,0.0838,362.39,11.58058411,8.16,757,5790.0,18314,50.6,1,0,0,0,0,1,0,0,0,0,0
1,0.0712,108.27,10.26813067,0.0,777,3034.041667,150,7.5,1,0,0,0,1,0,0,0,0,0,0
1,0.1236,240.39,9.757305042,4.58,662,3840.041667,0,0.0,2,0,0,0,1,0,0,0,0,0,0
1,0.0743,62.15,11.12714533,9.99,767,8190.041667,2475,5.4,1,1,0,0,1,0,0,0,0,0,0
1,0.0838,66.18,9.893437217,2.36,722,5790.0,1489,62.0,1,0,0,0,1,0,0,0,0,0,0
1,0.1109,327.82,10.63344871,19.32,702,2849.0,15368,87.1,0,0,0,0,0,0,1,0,0,0,0
1,0.0743,69.14,11.69524702,7.67,762,6007.041667,21521,29.5,1,0,0,1,1,0,0,0,0,0,0
1,0.1236,292.97,10.727663,15.53,677,1848.0,8494,44.2,1,0,0,0,1,0,0,0,0,0,0
1,0.0838,315.12,11.15051985,14.03,762,5519.0,11333,45.5,5,0,0,0,1,0,0,0,0,0,0
1,0.0807,225.86,11.02190247,17.0,762,5340.041667,9366,40.7,4,0,0,1,0,0,1,0,0,0,0
1,0.1267,536.57,11.42081018,10.13,677,5280.041667,23129,79.8,0,1,0,1,0,0,1,0,0,0,0
1,0.0951,192.23,11.60823564,16.87,722,8519.041667,67232,41.1,1,0,0,0,0,1,0,0,0,0,0
1,0.1014,97.0,10.77895629,0.0,692,5160.0,0,0.0,0,0,0,0,1,0,0,0,0,0,0
1,0.092,318.93,11.25480219,5.93,727,4800.0,11496,26.6,0,0,0,0,0,0,1,0,0,0,0
1,0.1078,228.45,10.50506754,7.76,687,2010.041667,6999,65.7,0,0,0,0,0,1,0,0,0,0,0
1,0.1172,72.78,10.57821615,17.2,667,1410.0,4863,69.5,0,1,0,0,1,0,0,0,0,0,0
1,0.0775,124.89,10.96127785,1.33,767,2485.041667,2325,8.2,0,0,0,0,1,0,0,0,0,0,0
1,0.1109,262.26,11.1844214,5.12,687,1949.041667,14653,95.1,0,0,0,1,1,0,0,0,0,0,0
1,0.0838,236.34,11.22524339,6.06,742,3149.041667,4286,40.4,0,0,0,0,0,1,0,0,0,0,0
1,0.1204,265.87,10.70738554,16.06,677,1949.041667,8009,68.5,0,0,0,0,0,0,1,0,0,0,0
1,0.0775,101.47,10.49127422,2.73,742,2550.0,2353,12.4,0,0,0,1,0,0,1,0,0,0,0
1,0.0775,218.55,10.81769612,10.37,767,4410.0,6634,9.4,0,0,0,0,0,0,1,0,0,0,0
1,0.1014,38.8,10.30895266,19.76,702,4529.041667,0,0.0,0,0,0,0,0,0,1,0,0,0,0
1,0.1141,247.0,11.1844214,14.65,682,3329.0,5608,47.1,0,0,0,0,0,1,0,0,0,0,0
1,0.1299,673.79,10.77895629,18.98,682,4830.041667,13649,42.4,1,0,0,1,0,0,1,0,0,0,0
1,0.1078,79.96,10.54534144,14.84,677,4140.041667,9973,33.8,0,0,0,0,1,0,0,0,0,0,0
1,0.1204,498.51,10.75790288,17.95,677,2609.0,16502,63.0,0,0,0,0,0,0,1,0,0,0,0
1,0.1488,692.14,11.23848862,7.11,667,3899.041667,15773,95.0,0,0,0,1,0,0,1,0,0,0,0
